Episode action sequences and rewards for two

Episode 0
u (from RMAX)
l (from RMAX)
none (from random)
r (from random)
l (from RMAX)
l (from random)
u (from random)
r (from random)
u (from RMAX)
u (from random)
u (from random)
r (from random)
u (from RMAX)
l (from RMAX)
u (from random)
none (from random)
none (from random)
l (from random)
u (from random)
r (from random)
l (from random)
none (from random)
r (from random)
d (from random)
u (from RMAX)
d (from random)
l (from RMAX)
u (from RMAX)
none (from random)
u (from random)
d (from random)
l (from RMAX)
l (from random)
l (from random)
none (from random)
u (from random)
u (from random)
none (from random)
none (from random)
r (from random)
d (from random)
u (from random)
d (from random)
none (from random)
u (from random)
d (from random)
r (from random)
u (from RMAX)
l (from random)
d (from random)
none (from random)
u (from random)
u (from random)
none (from random)
u (from random)
l (from random)
d (from random)
r (from random)
l (from random)
d (from random)
r (from random)
none (from random)
d (from random)
r (from random)
l (from RMAX)
l (from random)
none (from random)
r (from random)
r (from random)
r (from random)
u (from random)
l (from random)
l (from random)
d (from random)
d (from random)
r (from random)
r (from random)
none (from random)
r (from random)
u (from random)
r (from random)
l (from RMAX)
l (from random)
u (from random)
d (from random)
u (from random)
l (from random)
l (from random)
l (from random)
r (from random)
d (from random)
l (from random)
l (from random)
l (from random)
l (from random)
u (from random)
d (from random)
u (from random)
d (from random)
u (from random)
l (from random)
l (from random)
d (from random)
l (from random)
l (from random)
u (from random)
none (from random)
u (from random)
l (from random)
none (from random)
u (from random)
u (from random)
l (from random)
r (from random)
r (from random)
d (from random)
d (from random)
l (from RMAX)
u (from RMAX)
r (from random)
u (from random)
r (from random)
u (from RMAX)
r (from random)
u (from RMAX)
l (from RMAX)
l (from random)
none (from random)
r (from random)
none (from random)
u (from random)
r (from random)
r (from random)
l (from RMAX)
l (from random)
u (from random)
u (from random)
l (from random)
l (from random)
u (from random)
r (from random)
r (from random)
r (from random)
r (from random)
u (from RMAX)
r (from random)
l (from RMAX)
d (from random)
u (from RMAX)
none (from random)
r (from random)
u (from RMAX)
u (from random)
none (from random)
d (from random)
u (from RMAX)
none (from random)
d (from random)
l (from RMAX)
l (from RMAX)
l (from RMAX)
u (from RMAX)
u (from random)
none (from random)
l (from random)
l (from random)
none (from random)
d (from random)
r (from random)
l (from random)
d (from random)
none (from random)
r (from random)
u (from random)
d (from random)
none (from random)
d (from random)
l (from random)
l (from random)
l (from random)
l (from random)
r (from random)
d (from random)
l (from RMAX)
u (from RMAX)
l (from RMAX)
l (from RMAX)
u (from RMAX)
l (from random)
r (from random)
u (from random)
d (from random)
Score: -176

